English Word	English Sentence
Sleeping bag	Despite the sleeping bags, we were very cold last night. 
Refuge	We are going to sleep in a refuge tonight. 
Radio	He listens to the radio every morning when he has his breakfast. 
Painting	He is painting from time to time. 
Canvas	He paints on a canvas. 
Pencil	Can you sharpen this pencil ? 
felt-tip pen	The little boy colors the walls with his felt-tip pen. 
Brush	You have to dip the brushes in the water after using them. 
Binoculars	I would need binoculars to be able to recognize this bird. 
Magnifying glass	Your son is examining insects through a magnifying glass. 
Game	Children constantly make up new games. 
Board game	The children spent the afternoon playing board games. 
Team sports	He prefers team sports to individual sports.
Painting	This painting dates back to the Renaissance.
Painter	This painter has sold a lot of paintings. 
Sporty	He is very sporty
Racket	He has to get the strings of this racket repaired.  
Sandals	I have put sandals beacuse it was too hot. 
Compass	The compass points North. 
Rope	We took some ropes to go rock climbing. 
Toilet paper	You should always have a roll of toilet paper with you when you travel. 
String (Instr.)	He broke a string in the middle of a concert. 
Cello	The instrument maker sold me a cello. 
Accordion	He can play the accordion for hours. 
Bagpipes	The bagpipes is a traditionnal celtic instrument. 
Note	I forgot the first note. 
Partition	I cannot remember the piece, I need the partition. 
Card game	I brought a card game to play in the bus. 
Chess	Does anybody want to play chess ? 
Checkers	I do not know how to play checkers. 
Pawn	There is a piece missing, I think it is a pawn. 
Queen	The queen is the most important piece of a chess game. 
King	You have to protect your king. 
Knight	The knight can jump over the other pieces. 
Bishop	The bishop moves diagonally. 
Pawn	The pawn can only move one square at a time. 
Castle	I took his queen with my castle. 
Check	« Check »
Checkmate	« Checkmate »
Stalemate	« Stalemate »
Dice	It is your turn to cast the dice. 
Marbles	Children are playing marbles in the playground. 
Sculpture	This association gives sculpture lessons. 
Archery	The problem with archery is that you have to find a place to practice it. 
Scuba Diving	We go scuba diving once a year. 
Diving Suit	They have put complete diving suits to protect themselves from the cold. 
Ballasts (diving)	Take some more ballast otherwise you will float. 
Oxygene tank (diving)	My oxygene tank is almost empty, I am going to be short of air. 
Stab	His stab was pierced, he had to interrupt his dive. 
Bow	You need a lot of strenght to bend a bow.
Poker	Tonight, they (girls) gather to play poker. 
Grammar	They (girls) are not very good at grammar.
Present	He can conjugate only in the present tense. 
Past	What is the past tense which is the most used in this language ?  
Future	In this exercice, you have to put the verbs in the futur tense. 
Adjective	This is a qualifying adjective. 
Adverb	Adverbs qualify verbs. 
Sentence	Finish your sentences, you speak too quickly. 
Literature	Our literature teacher recommanded that we read this book. 
Author	The author of this text is unknown. 
Poem	This poem was an instantaneous success. 
Poet	This poem has been writen by a little-known poet. 
Line	Those are the most famous lines of this poet. 
Line	Ten lines in, I gave up reading this book.
Page	I have only three pages left to read. 
Translator	We are looking for a translator who could translate from English to Italian. 
To translate	Translating poems does not make much sense. 
Translation	The translation of this book took a year. 
Legend	Their son loves celtic legends. 
Fairy tale	Their parents read them fairy tales when they were young.
Fable	The moral of this fable is ambiguous. 
Biography	In general, the biographies of politicians are best sellers.
Novel	His last novel was not edited. 
Mistake	You make too many grammar mistakes. 
Spelling	You have made three spelling mistakes in your dictation.
Composition	This afternoon, he has to do a composition for his French teacher.
Dictation	He got an F in dictation again. 
(GB) full stop/(US) period	Sentences end with a full stop.
Semicolon	After a semicolon, you have to write a small letter. 
Comma	Breath at the comma. 
Question mark	In French, you have to write a capital letter after a question mark. 
Exclamation mark	I do not know if I have to write an exclamation mark. 
Apostrophe	There is an apostrophe missing between the L and the a. 
Accent	There is no accent on the a.
Acute accent	Do not forget to write an acute accent on the e.
Grave accent	I have to write a grave accent on the e of this e, haven't I ?
Circumflex accent	In this word, there is a circumflex accent on the a. 
(US) quotation marks/ (GB) inverted commas	You have to put this expression in quotation marks. 
Parenthesis	Put this comment in parentheses. 
Lower case	In French, the names of nationalities start with a lower case letter.
Capital	Sentences begin with a capital letter. 
Paragraph	I need to finish writing this paragraph before going to bed. 
Article	There is a very good article on the economic crisis on today's newspaper. 
Newspaper	I have subscribed to this newspaper since last year. 
Review	This review comes by the mail on Saturdays. 
Monthly	This monthly newspaper is originally a student project. 
Weekly	This is a weekly review. 
Daily	This newspaper is the best selling dailypaper of the country.  
Edition	The evening edition is just out. 
« new paragraph »	Start on the next line to begin a new paragraph. 
Correction	The correction of his text took hours. 
Hour	The train arrives in two hours. 
Minute	It only took him two minutes to realize he made a mistake.
Second	He runs the 100-metre dash in ten seconds only. 
Opening hours	Do you know the opening hours of the swimming pool ? 
In a moment	I arrive in a moment. 
Time (time)	Do you know what time it is ?
Decade	A decade later, he had not changed. 
Century	This writer lived during the eighteenth century. 
Millennium	We are at the beginning of the third millenium. 
Weekend	How great is it that the weekend is finally here !
Semester	He did not come at the finals of the second term. 
Quarter	The results of the first quarter were not good. 
Day	The wedding lasted for three days. 
Day	He spent his day working. 
Millisecond	The image was on screen for a few milliseconds only. 
Microsecond	There is one million microseconds in one second.
Nanosecond	There is one billion nanoseconds in one second. 
Year	This is the first year of the project. 
Kilometer	He traveled thirty kilometers in one day. 
League	One league is worth four kilometers. 
Mile	One mile is worth a little more than one kilometer. 
Meter	He is almost two meters high. 
Centimeter	The snail only covered few centimeters in an hour. 
Millimeter	He missed his target by a few millimeters. 
Light year	The first star is at three light years from the Earth.
Hectare	We own three hectares of vineyard. 
Are	One are is worth a hundred meters square. 
Gram	His blood alcohol content is four grams.  
Kilogram	The baby weighs two kilograms only. 
Ton	This elephant weighs almost six tons. 
Pound	How many pounds are there in a kilogram ? 
Pint	A pint of beer, please. 
Barrel	The price of the oil barrel has been rising is this month. 
Liter	Could you buy one or two liters of milk ? 
Gallon	One gallon is worth a little less than four liters. 
Degree	The globe temperature might increase of two degrees. 
Degree (angle)	The angles of an equilateral triangle measures 60 degrees. 
Calorie	
Mach	Mach 1 corresponds to the speed of sound. 
G	He underwent an acceleration of 3G at the lift-off. 
Foot	He is six feet high. 
Inches	He is three feet six inches high. 
Barometer	Air pressure can be measured thanks to a barometer. 
Thermometer	Ambient temperature can be measured thanks to a thermometer. 
Measure	I need to measure the dimensions of this piece of furniture. 
Wallet	I have let my wallet fall down in the metro.
Scam	This is a scam for tourists.
Flight	A complaint has been filed for the theft of his cellphone. 
Bank	Banks do not lend money anymore these days. 
Exchange rate	The exchange rate is attractive these days, you have to change your euros. 
Tax	The government decided to increase the taxes on cigarettes. 
Bank note	I do not have any change, I only have bank notes.
Coin	We collect old coins. 
(GB) Bureau de change/(US) Foreign Exchange Office	The bureau de change takes a very high commission. 
Price	Prices increase because of the inflation. 
Negotiate	They are currently negotiating the selling of the company. 
Sell	I am selling my car at a very reasonnable price. 
Buy	They bought a house last year. 
Commission	They get a commission on the sales. 
Sales	The sales dropped off last month. 
Currency	The devaluation of the currency led to the collapse of the economy. 
Rent	Their rent is high because they live downtown. 
Pay	They do not manage to pay their bills. 
Corrupt	The former government was profoundly corrupted. 
Fine	He got a fine for parking his car on a « no parking » area. 
Credit card	His credit card has been eaten by the ATM. 
Withdraw (money)	I have to withdraw some cash, my wallet is empty. 
Guard	A guard is watching the entrance of the bank. 
Commissioner	A commissioner is in charge of the investigation. 
Arrest	The arrest of the banker has been made descreetly. 
Burglary	There has been a burglary in the flat last summer. 
Hacking	The hacking of banks data is a flourishing industry. 
(GB) Cheque/(US) Check	As he trusted him, he made him a blank cheque. 
Complaint	He filed a complaint after his appartment has been robbed. 
Police station	The police station is open at night. 
Weapon	He does not have any weapon on him. 
Gun	When you are threatened with a gun, you do not try to defend yourself. 
Knife	She has been threatened with a knife so that they could steal her purse. 
Legal	I am not sure this is a legal business. 
Illegal	This plant is still illegal. 
Aggression	Aggressions happen more and more often in this town. 
Thief	The thief managed to escape. 
Security	The security of this building is maintained by a guardian. 
Insecurity	Insecurity is one of the main themes of  this campaign. 
Dangerous	It is dangerous to go for a walk here at night. 
Danger	The danger is not completely passed. 
Police	The police do not come in this neighborhood anymore. 
Policeman	The policemen have made a blunder. 
Handcuffs	He was handcuffed during his arrestation. 
Baton	He got a blow with a baton during a confrontation with the police. 
Dispenser (ATM)	The ATM is out of order. 
Change	The baker has to give me my change back. 
Fake note	Always check that people do not give you a fake note back.
Expensive	The book was too expensive, I could not buy it. 
Cheap	This swimming pool is very cheap.
France	In France, people like cheese. 
French (n.)	French people often go on holiday.
England	England won the last rugby match.
English (n.)	English people like French gastronomy. 
United States	The United States announced new economic measures to curb the crisis. 
American (n.)	The phone has been invented by an American. 
Spain	He spends his holidays in Spain this year.
Spanish (n.)	The Spanish government became unpopular due to the crisis. 
Italy	He studied in Italy for one year. 
Italian (n.)	They met two Italians in the bus. 
Brazil	Brazil announced the discovery of a new oil slick. 
Brazilian (n.)	Brazilian people are worried by the fate of the Amazone Rainforest. 
Russia	Russia vetoed the proposals of the last UN Security Council meeting. 
Russian (n.)	Russians are among the biggest arm dealers in the world. 
China	China has become a big holiday destination for tourists. 
Chinese (n.)	The Chinese protest against their work conditions. 
Japan	Japan is located in a seismic region. 
Japanese (n.)	The Japanese are in conflict with the European Union concerning whale hunting. 
India	India is in full economic expansion. 
Indian (n.)	Among tourists, there are more and more Indian people visiting Paris.
Australia	They have worked in Australia for three years. 
Australian (n.)	He picked up two Australians who were hitchhiking
Africa	Dryness is rife in East Africa. 
African (n.)	The Africans criticized French interventionism. 
Asia	Asia is fascinating to him. 
Asian (n.)	A lot of Asian people live in this neighborhood. 
Europe	He traveled in Europe mostly. 
European (adj.)	The countries of the European Union are having a hard time to agree on the economic measures they have to take. 
South America	He went round South America in two years. 
North America	The colonization of North America expanded rapidly during the seventeenth century. 
Maghreb	The Mahgreb imports large amounts of cereals. 
Middle East	Middle East is one of the cradles of civilization.
Middle East	The peace process in Middle East is the subject of this UN meeting.  
Mexico	Mexico is the second economy of Latin America. 
Mexican (n.)	Mexican people eat a lot of spiced food.
Canada	Canada is one of the countries which is the most affected by the climate change. 
Canadian (n.)	The Canadians are very keen on hockey. 
Germany	Germany is the first European economic power. 
German (n.)	There are mostly German people in this residence hall. 
South Africa	South Africa hosted the 2008 Football World Cup. 
South African (n.)	The South Africans defeated the French at rugby. 
Afghanistan	The last soldiers should leave Afghanistan soon. 
Afghan (n.)	Most of the Afghan people do not know the reasons of the Western occupation. 
Libya	Lybia is a desert country. 
Libyan (n.)	Lybians should elect their first government next year. 
Syria	The rebellion in Syria does not weaken. 
Syrian (n.)	The Syrians are determined to overthrow their government. 
Israel	Israel's population is mainly composed of Jewish people. 
Israeli (n.)	Israelis are demanding more social justice. 
Arab (n.)	The Arabs are asking for more democracy. 
Argentina	Argentina got into a default in payment in 2001. 
Argentinian (n.)	Argentinian people are in favor of an interventionist economic policy. 
Colombia	Colombia is one of the only countries in South America which houses American military bases. 
Colombian (n.)	I have chatted with some Colombians at the bus stop for an hour. 
Iraq	The Sumerian civilization used to occupy the actual Iraq. 
Iraqi (n.)	Iraqis are in favor of the evacuation of the American troops. 
Pakistan	Diplomatic relationships between Pakistan and the United States are tense. 
Pakistani (n.)	Pakistani people have an important economic role in this city. 
Peru	Peru openly supported Argentina during the Falklands War. 
Peruvian (n.)	Peruvian people are composed of several Andean people. 
Chile	Chile is a South American country. 
Chilean (n.)	Chilean people have a very particular accent. 
Vietnam	He spent three months in Vietnam. 
Vietnamese (n.)	Vietnamese people are disliked in Cambodia. 
Portugal	The capital of Portugal is Lisboa. 
Portuguese (n.)	The Portuguese have a very high public debt. 
Thailand	Thailand is hit by torrential rain. 
Thai (n.)	Thai people have never been colonized. 
Tibet	Tibet is still occupied by China. 
Tibetan (n.)	Tibetans claim for more freedom. 
Taiwan	Taiwan is a never-ending tense subject between China and the United States. 
Taiwanese (n.)	Taiwanese people work a lot. 
Cambodia	The border between Cambodia and Thailand was the scene of violent confrontations. 
Cambodian (n.)	The Cambodians did not forget the Khmer Rouge era. 
Burma	Burma is showing signs of opening up to the outside world. 
Burmese (n.)	Burmese people want more democracy. 
Nigeria	Nigeria has important hydrocarbon ressources.  
Nigerian (n.)	The Nigerians speak English. 
Senegal	Senegal used to be a French colony. 
Senegalese (n.)	Senegalese people have unusually low salaries in France. 
Morocco	Morocco is one of the favorite destinations of French tourists. 
Moroccan (n.)	Moroccan people drink a lot of mint tea. 
Algeria	Algeria gained its independence in 1962. 
Algerian (n.)	Most Algerians speak good French.
Greece	Greece is staggering under the weight of recession. 
Greek (n.)	The Greeks are demonstrating against austerity plans. 
Turkey	Turkey wants to join the European Union. 
Turkish (n.)	Turkish people are very welcoming. 
Palestine	Palestine officially applied for its UN membership. 
Palestinian (n.)	Palestinian people want to be heard. 
Switzerland	Switzerland stayed neutral during the whole of the war. 
Swiss (n.)	The Swiss generally speak three languages. 
Holland	Holland is a flat country. 
Dutch (n.)	Generally speaking, the Dutch know a lot of languages
Indonesia	Indonesia was colonized by the Dutch.
Indonesian (n.)	The majority of Indonesians is Muslim. 
New Zealand	New Zealand has qualified for the final. 
Neo Zealander	New Zealand won the match by a narrow margin. 
Bangladesh	Bangladesh is one of the countries which is the most affected by the rising sea level. 
Bangladeshi (n.)	Bangladeshi are used to power cuts. 
Antarctica	Antartica is a continent. 
Sea	Rivers are all plunging in the sea. 
Sky	The sky is reddening at the close of the day. 
Earth	The Earth revolves around the Sun. 
River	The river flows peacefully.
Lake	The lake is frozen during winters.
Ocean	They crossed the ocean by boat. 
Cloud	There is not one single cloud in the sky today. 
Rain	Rain has started to fall down.
Fog	The fog is clearing away gradually.
Animal	I think I saw an animal. 
Plant	Herbivores are eating plants. 
Tree	We have to plant trees to fight global warming. 
Grass	The cow eats grass. 
Mountain	We are going to the mountain every summer. 
Plain	The wind blows on the plains. 
Plateau	The plateau is located at an altitude of three thousands meters. 
Snow	The snow is falling in big flakes. 
Hail	The hail destroyed the maze crops. 
Wind	The wind is rising. 
Storm	The tempest caused a lot of damage. 
Night	The night falls quickly in the tropics. 
Day	Day is breaking early today. 
Sun	The sun is at its zenith. 
Moon	The moon will be full tomorrow. 
Stars	The stars are twinkling intensively tonight. 
Brook	There are little fish in the brook. 
Field	The wheat fields stretch away as far as the eye can see. 
Space	Is space really infinite ? 
Planet	Planets revolve round the Sun. 
Tsunami	The tsunami had devastating consequences. 
Earthquake	An earthquake devastated the country. 
Flowers	He offered flowers to his neighbor. 
Ground	The ground is damp. 
Light	You cannot go faster than light.
Earth (matter)	You have got earth on your shoes. 
Seed	You have to plant seeds before winter. 
Cold	The cold fell suddenly. 
Fire	The fire burnt everything in its path.
Ice	The lake is covered in ice. 
Iceberg	Icebergs drift across the ocean. 
Glacier	The glaciers are melting quickly. 
River	The river flows peacefully.
Summer	Summer will go by quickly.
(US) Fall/(GB) Autumn	In autumn, leaves are falling. 
Spring	Spring is here sooner this year. 
Winter	Winter is particularly harsh this year.
Dry season	During the dry season, it never rains. 
Rainy season	The rainy season is about to begin. 
Leaf	The dog is rolling in a heap of leaves. 
Mud	Swipe the mud off your boots. 
Island	The islands are threatened by the water rises. 
Continent	The continental drift has been discovered during the last century. 
Atlantic	The Atlantic Ocean is between Europe and America. 
Pacific	The Pacific is the largest ocean.
Indian Ocean	The Indian Ocean is overrun with pirates. 
Mediterranean	Trading has been developping in the Mediterranean Sea since antiquity.
Andes	The Andes are a young range of mountains.
Himalayas	The highest summit in the world is located in the Himalayas.
Climate	The climate is changing rapidly on the global scale.
Season	There are four seasons in this country.
Desert	This desert is impassable. 
Forest	The forest provides a habitat for a certain number of species. 
Jungle	The jungle stretches away as far as the eye can see. 
Amazon	The Amazon is the victim of deforestation. 
Alps	The Alps are the biggest range of mountains in Europe. 
(Ice) Floe	The ice floe is an ice layer which floats on the sea. 
Melting	The melting of the ice floe worries the scientists. 
Thaw	Snow melts during the thaw. 
Permafrost	Permafrost is a layer of iced ground which is frozen permanently.
Desertification	Desertification threatens food-producing cultures.
Current	The current takes the craft to the open sea. 
Hurricane	The hurricane devastated the area. 
Bush	There is an animal in the bush. 
Shrub	A shrub is smaller than a tree. 
Branch	Monkeys leap from branch to branch. 
Root	The wild boar feeds itself essentially on roots. 
Path	The path is hidden by vegetation. 
Hiking	Hiking paths cover the entire country. 
Stone	The snake is warming itself up on the stones. 
Rock	The rocks graze the water surface. 
Cliff	Sheep fell off the cliff. 
Dust	The dust irritated our throats. 
Drought	This area is striken by the drought. 
Flood	The flood only made material damages.
Dam	The floodgates of the dam have been opened. 
Archipelago	This archipelago is a pirates' den. 
Full moon	It is the full moon tonight. 
Tide	The cycle of tides has been going on since the dawn of time. 
Constellation	He knows how to recognize the constellations. 
Wave	A six-meter wave broke onto the beach. 
Breeze	The breeze blows softly. 
Drizzle	A thin drizzle falls down on the city. 
Dew	At dawn, a light dew forms on the leaves. 
Weather	The weather is very nice today. 
Fauna	The local fauna is extraordinarly rich.
Stem	Be careful with this flower, it has thorns on its stem. 
Petal	He picked the petals of the flower one by one. 
Stone	You have to remove the stones of the fruits if you want to make a compote out of it. 
Trunk	Tree trunks floated in the river.
Basalt	Basalt is formed when the lava cools down rapidly.
Granite	You can climb granite blocks.
Mineral	You have to identify the minerals in the rock to name it.
Crystal	There are no impurities in this crystal. 
Lava	Melting rock becomes lava. 
Volcano	The Eyjafjöll volcano has erupted. 
Erosion	The erosion has sculpted the landscape. 
Ecuador	The equator goes across the city. 
Tropics	At the tropics, night falls earlier in the summer.
Pole	Global warming is more important at the poles.
Coral	The coral and the medusa are two different steps of a different species. 
Cascade	The waterfall flows into space. 
Torrent	They did not manage to go swimming in the torrent, the water was freezing.
Valley	The valley is steep-sided
Grove	The stag took refuge in a grove.
Bay	The ship took shelter in the bay.
Dune	The trail goes across the dunes. 
Gulf	The Gulf of Mexico is a biodiversity hotspot. 
Lagoon	The lagoon provides a home for numerous fishes species. 
Pond	The gold fish are swimming in the pond. 
Meadow	Bison herds are grazing in the meadow.
Peninsula	The Italian peninsula is the scene of violent riots. 
Ravine	The ball fell into the ravine, I am not going to get it.
Marsh	The swamp has been dried because of the malaria.
Bark	The bark of this tree has medicinal properties. 
Eclipse	The lunar eclipse will only be visible from the Northern hemisphere. 
Atmosphere	The meteorite was destroyed when it entered the atmosphere. 
Orbit	The satellite is in orbit around the Earth.
North	The compass points North. 
South	We have to go a little bit further South.
East	The forest is one hundred kilometers East of the city.
West	France is West of Germany. 
Frost	The late frosts have spoilt the fruit trees. 
Frost	The pipe exploded because of the frost. 
Lightning	A flash of lightning ripped off the sky.
Thunder	Thunder is growling in the distance. 
Rainbow	There was a rainbow after the rain. 
Mist	Mist floated above the river. 
Tornado	The tornado took the roof off the house. 
Heat wave	Thousands of elderly people have died because of the heat wave. 
Sand	The children are making sandcastles. 
Estuary	The estuary is the mouth of a river.
Groundwater	The ground water has been poisonned by fertilizers. 
North Pole	You can find white bears at the North Pole.
South Pole	The polar night lasts for half the year at the South Pole. 
Western	Not everyone will agree on the merits of the Western pattern. 
Oriental	The Oriental part of the country is very different from its Western part. 
Northern	Northern steppes are slowly getting warmer.
Southern	The Southern part of France is hit by dryness. 
Savannah	The lion is the uncontested master of the savannah.
One	Do you want one or two fried eggs ? 
Two	We saw two cars hurtling past us. 
Three	They got three children.
Four	Four times two makes eight. 
Five	Five plus six makes eleven.
Six	Eight minus six makes two.
Seven	Seven plus two makes nine.
Eight	Eight times two makes sixteen.
Nine	He has nine tenth of the inheritance.
Ten	We have got ten minutes to finish this report. 
Eleven	The train leaves at eleven sharp. 
Twelve	He got twelve out of twenty at his last test. 
Thirteen	The number thirteen is often considered unlicky.
Fourteen	He celebrated his fourteenth birthday yesterday.
Fifteen	We have to wait for fifteen minutes at least. 
Sixteen	With only fifteen players against sixteen, the opposite team could not win. 
Seventeen	Seventeen euros a kilo.
Eighteen	He has just turned eighteen. 
Nineteen	This is a nineteen persons group. 
Twenty	Who said that being twenty was the best years of your life ?
Twenty-one 	He had twenty-one wives. 
Thirty	He will be thirty soon. 
Forty	Forty years ago, nobody had a computer.
Fifty	Fifty percent of the population is in favor of  the reform. 
Sixty	It is unadvisable to make children when you are sixty. 
Seventy	He is a bit older than seventy.
Eighty	Four times twenty makes eighty. 
Ninety	He has done ninety percent of the work by himself. 
Cent	One century is a hundred years. 
Thousand	Two thousand people have demonstrated against the reform of education. 
One million	One million euros have been embezzled. 
One billion	The world population is over seven billions now. 
First	It is the first time he is coming. 
Second	She is his second wife.
Third	We are going to Asia for the third time.
Fourth	Take the fourth street on your left.
Fifth	He shifted into fifth gear.
Sixth	She is their sixth daughter.
Seventh	He arrived in seventh position at this race. 
Eighth	He is eight in his class. 
Ninth	He is opening the ninth bottle of the evening. 
Tenth	He is the tenth doctor he is going to. 
Twentieth	He came twentieth out of fifty students.
Hundredth	I am telling you this for the hundredth time. 
Thousand	There were thousands of demonstrators.
About ten	Around ten journalists have been taken hostages.
Dozen	I bought a dozen eggs at the grocer's. 
about a hundred	There were only about a hundred demonstrators.
Pair	I have bought a pair of gloves. 
Zero	The zero has been invented by the Arabs. 
Glass	Give me a glass of water. 
Cup	Do you want to drink your coffee in a cup ? 
Sauce pan 	I always forget where to put the sauce pans away. 
Stove	I do not know whether I should cook the onions in the pan or in the sauce pan. 
Drainboard	Put the plates on the drainboard.
Wire fence	There is a wire fence on the window to dissuade thieves. 
Rolling pin	You have to roll the dough with a rolling pin. 
Spatula	You have to spread the plaster out with a spatula.
Sponge	I am looking for a sponge to clean the table.
Tea towel	Clean the table with a tea towel after cleaning it with a sponge. 
Cutlery	You forgot to set the cutlery. 
Tablecloth	The tablecloth is stained by drops of wine.
Microwave	Re-heat that in the microwave.
Matches	Stop playing with the matches. 
Coffee maker	The coffee maker is empty. 
Teapot	Usually, she serves tea in a China teapot.
Mixer	Baby plays with the mixer.
Cork-screw	Take the cork-screw to open the bottle.
Bottle opener	I would need a bottle opener to open the beer bottle.
Bottle	I would like a bottle of fruity red wine.
Pot	Put the jam in a pot.
Napkin	You forgot to put the napkins on the table.
Plastic film	Put some plastic film on the plate before putting it in the fridge. 
Brush	I am looking for my hair brush.
Watering can	Fill up the watering can and go water the plants. 
Secateurs	He needs a pair of secateurs to do some gardening.
Mower	He is mowing the grass.
Wheelbarrow	I would need a wheelbarrow to carry the earth.
Toothbrush	Could you lend me a toothbrush ? 
Comb	Comb your hair before going out. 
Hairdryer	The hairdryer is not working anymore.
Freezer	Who let the door of the freezer open ? 
Ladder	I cannot climb to the ladder, the rungs are broken.
Printer	As usual, the printer is out of service.
Peg	Go hung your coat at the coatpeg please. 
coat rack	You can put your coat on the coat rack
Filter	The water filter is clogged.
Coffee filter	We have to buy more coffee filters. 
Bill	Unpaid bills are pilling up on his desk. 
Trolley	Put that in the trolley instead of carrying it by hand.
Basket	She took a basket to go shopping. 
Stamp	Only one stamp on my passport and I am free. 
Thermos	He always has hot water in his thermos.
Rake	Never let rakes on the ground. 
Spade	Spades are handier than spades to dig a hole.
Electric battery	In this country, people do not recycle electric batteries. 
Padlock	Put a padlock on your lock before you leave. 
Fan	The fan is too noisy, switch it off. 
Coffee	The coffee of this coffee maker is bad.
Handbag/Purse	Her purse has been stolen in the street. 
Bowl	I am content with a bowl of cereals for breakfast. 
Can	Aluminium cans can be recycled here.
Bell	The bells are ringing at noon. 
Silk	Silk is highly valued.
Ticket	He took the ticket off the sweater. 
Chain	A chain prevents the gate's opening.
Scale	You can weigh yourself on a scale. 
Cardboard	Cardboard can be recycled. 
Plastic bag	I use plastic bags as dustbins. 
Tube	The aspirin tube is empty.
Remote control	The remote control has disappeared again. 
Local channel	That local channel is of a very bad quality. 
Keyboard	I am still not comfortable with AZERTY keyboards.
Button	You have to click on that button. 
Wax	He put some wax on his wooden floor.
Placard	Slogans are written on placards. 
Case	She cannot find her glass case. 
Band	Do you want a band to tie your hair ? 
Scotch	You can put some scotch to tie the sheet. 
Furniture	The furniture of this shop are quite cheap.
Furnishing	He spent thousands of euros to buy furnishings again.
Typewriter	He is still typing his letters with a typewriter.
Ax	He chops wood with an ax. 
Saw	That saw is not very sharp.
Pliers	A simple pair of metal pliers would do to cut this chain. 
Bolt	There is a bolt missing here. 
Drill	We should recharge the drill's battery. 
Chain saw	He cuts trees with a chain saw. 
Screw	We need a screwdriver to drive this screw in. 
Needle	I am looking for a needle. 
Nail	All the nails have rusted up. 
Hammer	He got a hammer blow on his hands. 
Pick	They are digging a trench with a pick. 
Box	Put your toys in the box. 
Rule	Take a ruler to take the measurements. 
Calculator	It is too complicated for me, I need a calculator to do the maths. 
Scissors	Children need round ended scissors. 
Desk	He spent his day sitting at his desk.
Photocopy	I have made around a hundred photocopies. 
Copier	They spend their times at the copier.
Staple	He stuck a staple in his finger by mistake. 
Drawing pin	I need a drawing pin to hang the paper at the board. 
Drawer	The drawer is closing with difficulty. 
Mouse	Wireless mice are clearly more practical. 
Screen	The computer screen is a 16 inches screen. 
Phone	The phone is ringing, get it.
Computer	His computer is always on.
Internet	The internet connexion is bad here. 
Colored pencil	I am looking for colored pencils for children. 
India ink	This India ink is of a very high quality.
Glue	I am looking for some glue, would you have some by any chance ?
Stapler	I cannot find the stapler.
Envelope	He put the letter in the envelope.
Delete	He erased the drawing on the wall.
Gum	Do you have an eraser to erase ?
Table	He solved the problems in front of the class. 
Basket	There is a basket under the desk to throw papers away. 
Soap	Lather some soap on yourself before getting out of the shower. 
Screwdriver	I am looking for a screwdriver.
Cordless phone	Where did you put the cordless phone ?
Pen	Can I borrow a pen ?
Letter	He wrote a letter to her to explain his plan.
Paper	You have to save paper.
Book	He read all the books of the library.
Encyclopedia	This article is in the second volume of the encyclopedia.
Shovel	Where are the shovel and the brush ?
Brush	I'm looking for the brush to sweap out this dust.
Broom	Could you sweep up the flat ?
Vacuum	We should vacuum before the landlord arrives. 
Towel (bath)	Could I borrow a bath towel ?
Razor	One should never share their razors, it is too risky.
Tweezers	She would need a pair of tweezers to pull a splinter out. 
Cause	The causes of of this event are not so well known.
Consequence	He does not realize that his acts have consequences.
Lucky	He is very lucky. 
Lucky	Generally speaking, he is rather lucky.
Chance	Chance really was on his side.
Reality	To escape reality, she takes shelter in her imagination. 
To run a risk/To Take a chance	He took his chances by quitting his job. 
By chance	They met in the street by chance. 
At random	He chooses his next destination at random.
in a hurry	They have done their homeworks in a hurry.
While you're at it	While you are at it, could you buy some bread ? 
Cause	The flooding have caused huge damage. 
Occur	The accident occured at 2 am. 
Contribute	Everyone has their ways to contribute to the project.
Result	The social policy of the Argentinian government has resulted in huge economic growth. 
Result	The crisis is the result of a disatruous economic policy. 
To lack	They are cruelly lacking an ambition.
Gap	There are gaps in his knowledge of French.
Take place	The meeting took place in the top office. 
Event	Events have followed on quite quickly.
Possibility	The possibility of the country defaulting on its debt sent the markets into a frenzy. 
Part	I think this is a part of your car. 
End	You have to go to the end of the street. 
Fragment	Only some fragments remain of the original text. 
Include	The price of the ticket does not include airport taxes.
Reach	He did not manage to reach his mother over the phone. 
Consist	I do not know what this test is about.
Balance	The balance of the country was shattered. 
Dominate	He is completely dominated by his wife. 
Offset	His defects do not manage to offset his qualities. 
Contain	This bottle contains orange juice. 
Finish	They have finished what they had started. 
Bound	The bound between you two is not easy to understand.
Be related	A priori, these two events are not related. 
Link	The link between these two events is not obvious.
To do	This suit will not do for your interview. 
Inapropriate	The way he reacted to the news was inapropriate.
On the contrary	On the contrary, it is very important. 
To matter	It does not matter that you have failed your exams. 
Worth	He does not realize how much this relationship is worth. 
Worth	Spending so much money on that is not worthing it.
Trivial	The solution of this problem is trivial. 
Deep	He has a deep knowledge of the French language. 
Prominent	He has a prominent rôle in the company.
Evolve	The situation is evolving rapidly these days. 
Variety	You can find a great variety of fruit in this market.
Diversity	The cultural diversity of the capital is its major asset. 
Inequality	Inequalities tend to increase.
Evolution	The evolution of the situation seems to be positive.
Increase	Social inequalities keep on increasing.
Increase	The increase of prices leads to the discontentment of the population.
Increasingly	Dismissals keep on going increasingly.
Decrease	Tax revenues have decreased a lot last year.
Decrease	The decrease of unemployment seems to be a positive sign for the economy.
